extension_pct,regime,component,increment_kW,share_pct
9,5,T2,-0.5489564971170732,-0.5670538752616509
9,5,T3,0.13002766920217987,0.1343142746275057
9,5,T4,0.2350527361824176,0.24280168946551114
9,6,U1,-23.893074116651757,-20.897481072875763
9,6,U2,59.647870075579846,52.16952116986355
9,6,U3,54.11512843036246,47.330446748231765
9,6,U4,24.48671991740911,21.41669855928004
9,6,T1,-0.7226469095993727,-0.6320450872916513
9,6,T2,0.5147931583081556,0.4502509902940095
9,6,T3,0.10747122269647778,0.09399702320486443
9,6,T4,0.07844695224140054,0.06861166929319287
9,7,U1,63.22665968503643,58.577035092745604
9,7,U2,16.231494325757925,15.037846653041566
9,7,U3,21.129296374786666,19.575469294067737
9,7,U4,7.341265580378674,6.801396336121489
9,7,T1,0.00511835021880464,0.004741951921506271
9,7,T2,0.11712084746944507,0.1085078988275804
9,7,T3,-0.05584282341387184,-0.05173619867137351
9,7,T4,-0.05748868801434516,-0.05326102805410698
10,0,U1,25.342477649502786,22.764879456898342
10,0,U2,1.9316708184509084,1.7351994521066831
10,0,U3,27.43714377413541,24.646495867464488
10,0,U4,56.61140418402671,50.853425223812074
10,0,T1,4.6608724917664157e-14,4.186812430359098e-14
10,0,T2,-3.135600408661266e-10,-2.816676661035761e-10
10,0,T3,2.3727715532930268e-14,2.1314355737641534e-14
10,0,T4,2.3138235135877487e-14,2.0784831735817095e-14
10,1,U1,53.08228390745338,48.32657941608668
10,1,U2,45.0975504842523,41.05720768812252
10,1,U3,-19.757626266007005,-17.987517200319253
10,1,U4,31.41855558824117,28.603730096109828
10,1,T1,4.6608724917664157e-14,4.2432994219748817e-14
10,1,T2,-2.3354687983474347e-14,-2.1262313911342875e-14
10,1,T3,2.372771553293027e-13,2.1601921482196446e-13
10,1,T4,0.0,0.0
10,2,U1,47.276588761194525,45.600995313928024
10,2,U2,-2.3711015394793944,-2.2870641267459213
10,2,U3,27.0379490119501,26.079660536002862
10,2,U4,31.731030603382823,30.60640828296527
10,2,T1,-6.3760502643739975e-09,-6.15006805367786e-09
10,2,T2,-7.006406395042304e-14,-6.75808288118389e-14
10,2,T3,-4.7455431065860536e-14,-4.577349902687994e-14
10,2,T4,-4.6276470271754975e-14,-4.4636323374912405e-14
10,3,U1,35.83071890988386,32.829656285277395
10,3,U2,14.262112410167568,13.06756499933448
10,3,U3,44.46783706085876,40.74335795855359
10,3,U4,14.53689573595859,13.319333381691894
10,3,T1,-0.07537885184041593,-0.06906536827585315
10,3,T2,0.5140113156299883,0.4709594262207463
10,3,T3,9.908094573274172e-06,9.078225309983532e-06
10,3,T4,-0.39489048310134467,-0.361815761027562
10,4,U1,-46.079439683645,-46.032291149949145
10,4,U2,55.75724107510375,55.700190204310495
10,4,U3,52.823050432167825,52.769001828488676
10,4,U4,37.63809792713898,37.59958658367324
10,4,T1,-0.0875047237096718,-0.08741518877950129
10,4,T2,-0.3107308765727112,-0.3104129363958121
10,4,T3,0.2585912745053361,0.2583266836269927
10,4,T4,0.10311948699830159,0.10301397502504807
10,5,U1,41.519475291437395,42.88824249703401
10,5,U2,20.135492630408667,20.799296828019024
10,5,U3,54.37172424591924,56.16418989094883
10,5,U4,-19.18618861741659,-19.81869723164098
10,5,T1,0.15189831495359873,0.15690592717977614
10,5,T2,-0.5489564973642125,-0.5670538756575813
10,5,T3,0.13002766916469008,0.1343142746220933
10,5,T4,0.23505273615249986,0.24280168949482803
10,6,U1,-23.893074116651757,-20.897481072875763
10,6,U2,59.647870075579846,52.16952116986355
